Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
Fletcher's	0	1	1	1	50	15			3	300	skilltab	0	1	1									1	dgrn	armo	weap									0	0	0
Bowyer's	0	1	1	40	75	30			2	300	skilltab	0	2	2									1	lgrn	armo	weap									0	0	0
Archer's	0	1		60		45			1	300	skilltab	0	3	3									1	cgrn	armo	weap									0	0	0
Acrobat's	0	1	1	1	50	15			3	301	skilltab	1	1	1									1	dred	armo	weap									0	0	0
Gymnast's	0	1	1	40	75	30			2	301	skilltab	1	2	2									1	lred	armo	weap									0	0	0
Athlete's	0	1		60		45			1	301	skilltab	1	3	3									1	cred	armo	weap									0	0	0
Harpoonist's	0	1	1	1	50	15			3	302	skilltab	2	1	1									1	dblu	armo	weap									0	0	0
Spearmaiden's	0	1	1	40	75	30			2	302	skilltab	2	2	2									1	lblu	armo	weap									0	0	0
Lancer's	0	1		60		45			1	302	skilltab	2	3	3									1	cblu	armo	weap									0	0	0
of the Jackal	0	1	1	1	20	3			6	303	hp		1	5									1	oran	armo	weap									0	0	0
of the Fox	0	1	1	11	40	8			5	303	hp		6	10									1	oran	armo	weap									0	0	0
of the Wolf	0	1	1	27	60	20			4	303	hp		11	20									1	dred	armo	weap									0	0	0
of the Tiger	0	1	1	43		35			3	303	hp		21	30									1	dred	armo	weap									0	0	0
of the Mammoth	0	1	1	59		51			2	303	hp		31	40									1	cred	armo	weap									0	0	0
of the Colossus	0	1		75		67			1	303	hp		41	60									1	cred	armo	weap									0	0	0
Lizard's	0	1	1	3	15	2			4	303	mana		1	5									1	dgrn	armo	weap									0	0	0
Snake's	0	1	1	12	30	9			3	303	mana		5	10									1	dgrn	armo	weap									0	0	0
Serpent's	0	1	1	23	45	16			2	303	mana		11	20									1	dblu	armo	weap									0	0	0
Drake's	0	1	1	34	60	26			2	303	mana		21	30									1	dblu	armo	weap									0	0	0
Dragon's	0	1	1	45		37			1	303	mana		31	40									1	cblu	armo	weap									0	0	0
Wyrm's	0	1	1	56		48			1	303	mana		41	60									1	cblu	armo	weap									0	0	0
Great Wyrm's	0	1		67		59			1	303	mana		61	80									1	cblu	armo	weap									0	0	0
Shimmering	0	1	1	1	40	3			8	304	res-all		5	10									1	lpur	armo	weap									0	0	0
Rainbow	0	1	1	18	60	13			7	304	res-all		8	15									1	lpur	armo	weap									0	0	0
Scintillating	0	1	1	28		21			6	304	res-all		16	30									1	lpur	armo	weap									0	0	0
Prismatic	0	1	1	39		31			5	304	res-all		25	35									1	lpur	armo	weap									0	0	0
Chromatic	0	1		50		42			4	304	res-all		35	45									1	lpur	armo	weap									0	0	0
Sharp	0	1	1	10		5			3	304	att		15	30	dmg%		10	20					1	dyel	weap										0	0	0
Fine	0	1	1	18		13			3	304	att		31	60	dmg%		21	30					1	dyel	weap										0	0	0
Warrior's	0	1	1	30		23			2	304	att		61	80	dmg%		31	40					1	dyel	weap										0	0	0
Soldier's	0	1	1	42		34			2	304	att		81	100	dmg%		41	50					1	dyel	weap										0	0	0
Knight's	0	1	1	50		42			2	304	att		101	121	dmg%		51	65					1	dgld	weap										0	0	0
of Blight	0	1	1	1		3			3	305	pois-min		16	16	pois-max		24	24	pois-len		100	100	1	lgrn	armo	weap									0	0	0
of Venom	0	1	1	15		11			2	305	pois-min		24	24	pois-max		48	48	pois-len		150	150	1	lgrn	armo	weap									0	0	0
of Pestilence	0	1	1	25		18			2	305	pois-min		48	48	pois-max		72	72	pois-len		200	200	1	dgrn	armo	weap									0	0	0
of Anthrax	0	1		33		25			2	305	pois-min		72	72	pois-max		128	128	pois-len		250	250	1	dgrn	armo	weap									0	0	0
of Thorns	0	1	1	14	5	10			4	306	thorns		4	12									1	oran	tors	helm	shld	belt	circ						0	0	0
