description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0	28				2	leg	tbk						Cow Portal																																																																																							0
3 health potions + 3 mana potions + 1 standard gem -> full rejuvenate potion	1			0					7	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
3 health potions +  3 mana potions + 1 chipped gem -> rejuvenate potion	1			0					7	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
3 small rejuvs -> one large	1			0					3	"rvs,qty=3"							rvl																																																																																							0
1 perfect gem of each type + 1 amulet -> prismatic amulet	1			0					7	"amul,mag"	gpv	gpy	gpb	gpg	gpr	gpw	"amu,mag,pre=331"	50																																																																																						0
1 ring + 1 perfect ruby + 1 exploding potions -> garnet ring	1			0					3	"ring,mag"	gpr	opm					"rin,mag,pre=1232"	30																																																																																						0
1 ring + 1 perfect sapphire + 1 thawing potions-> cobalt ring	1			0					3	"ring,mag"	gpb	wms					"rin,mag,pre=1228"	30																																																																																						0
1 ring + 1 perfect topaz + 1 rejuvenation -> coral ring	1			0					3	"ring,mag"	gpy	rvs					"rin,mag,pre=1236"	30																																																																																						0
1 ring + 1 emerald + 1 antidote potions -> jade ring	1			0					3	"ring,mag"	gpg	yps					"rin,mag,pre=1240"	30																																																																																						0
1 axe + 1 dagger -> throwing axe	1			0					2	axe	knif						"tax,nor"																																																																																							0
1 spear + 1 arrow quiver -> javelins	1			0					2	spea	aq2						"jav,nor"																																																																																							0
3 rings -> amulet	1			0					3	"ring,mag,qty=3"							"amu,mag"		75																																																																																					0
3 amulets -> ring	1			0					3	"amul,mag,qty=3"							"rin,mag"		75																																																																																					0
"3 standard gems + 1 socketed weapon ->  magic, socketable weapon"	1			0					4	"weap,mag"	"gem2,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
"3 flawless gems + 1 magic weapon -> socketed, magic weapon"	1			0					4	"weap,mag"	"gem3,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
1 magic small shield + 1 spiked club + 2 skulls -> shield of spikes	1			0					4	"shld,mag"	"gemz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
4 health potion + 1 ruby + 1 magic sword -> sword of the leech	1			0					6	"swor,mag"	gemr	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
1 diamond + 1 kriss + 1 staff + 1 belt -> savage polearm	1			0					4	kri	gemd	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
chipped amethyst + flag + any perfect -> perfect amethyst	1			0					3	gcv	fl2	gem5					gvb																																																																																							0
chipped ruby + flag + any perfect -> perfect ruby	1			0					3	gcr	fl2	gem5					grb																																																																																							0
chipped sapphire + flag + any perfect -> perfect sapphire	1			0					3	gcb	fl2	gem5					gbb																																																																																							0
chipped topaz + flag + any perfect -> perfect topaz	1			0					3	gcy	fl2	gem5					gyb																																																																																							0
chipped emerald + flag + any perfect -> perfect emerald	1			0					3	gcg	fl2	gem5					ggb																																																																																							0
chipped diamond + flag + any perfect -> perfect diamond	1			0					3	gcw	fl2	gem5					gwb																																																																																							0
chipped skull + flag + any perfect -> perfect skull	1			0					3	skc	fl2	gem5					skb																																																																																							0
chipped obsidian + flag + any perfect -> perfect obsidian	1			0					3	gck	fl2	gem5					gbk																																																																																							0
2 Dragon Stones -> 3 Blemished Amethysts	1			0					2	"ppp,qty=2"							gpv																													gpv																													gpv																													0
2 Tyranium Ores -> 3 Blemished Topazes	1			0					2	"ttt,qty=2"							gpy																													gpy																													gpy																													0
2 Crushed Gems -> 3 Blemished Sapphires	1			0					2	"ggg,qty=2"							gpb																													gpb																													gpb																													0
2 Spider Silk's -> 3 Blemished Emeralds	1			0					2	"sss,qty=2"							gpg																													gpg																													gpg																													0
2 Forging Hammers -> 3 Blemished Rubys	1			0					2	"hh2,qty=2"							gpr																													gpr																													gpr																													0
2 Holy Symbols -> 3 Blemished Diamonds	1			0					2	"hly,qty=2"							gpw																													gpw																													gpw																													0
2 Blackmoors -> 3 Blemished Skulls	1			0					2	"eee,qty=2"							skz																													skz																													skz																													0
1 strangling gas potion + 1 health potion -> antidote potion	1			0					2	gpl	hpot						yps																																																																																							0
2 arrows -> bolts	1			0					2	"aq2,qty=2"							cq2																																																																																							0
2 bolts -> arrows	1			0					2	"cq2,qty=2"							aq2																																																																																							0
3 chipped amethysts -> flawed amethyst	1			0					3	"gcv,qty=3"							gfv																																																																																							0
3 flawed amethysts -> standard amethyst	1			0					3	"gfv,qty=3"							gsv																																																																																							0
3 standard amethysts -> flawless amethyst	1			0					3	"gsv,qty=3"							gzv																																																																																							0
3 flawless amethysts -> perfect amethyst	1			0					3	"gzv,qty=3"							gpv																																																																																							0
3 chipped rubies -> flawed ruby	1			0					3	"gcr,qty=3"							gfr																																																																																							0
3 flawed rubies -> standard ruby	1			0					3	"gfr,qty=3"							gsr																																																																																							0
3 standard rubies -> flawless ruby	1			0					3	"gsr,qty=3"							glr																																																																																							0
3 flawless rubies -> perfect ruby	1			0					3	"glr,qty=3"							gpr																																																																																							0
3 chipped sapphires -> flawed sapphire	1			0					3	"gcb,qty=3"							gfb																																																																																							0
3 flawed sapphires -> standard sapphire	1			0					3	"gfb,qty=3"							gsb																																																																																							0
3 standard sapphires -> flawless sapphire	1			0					3	"gsb,qty=3"							glb																																																																																							0
3 flawless sapphires -> perfect sapphire	1			0					3	"glb,qty=3"							gpb																																																																																							0
3 chipped topazes -> flawed topaz	1			0					3	"gcy,qty=3"							gfy																																																																																							0
3 flawed topazes -> standard topaz	1			0					3	"gfy,qty=3"							gsy																																																																																							0
3 standard topazes -> flawless topaz	1			0					3	"gsy,qty=3"							gly																																																																																							0
3 flawless topazes -> perfect topaz	1			0					3	"gly,qty=3"							gpy																																																																																							0
3 chipped emeralds -> flawed emerald	1			0					3	"gcg,qty=3"							gfg																																																																																							0
3 flawed emeralds -> standard emerald	1			0					3	"gfg,qty=3"							gsg																																																																																							0
3 standard emeralds -> flawless emerald	1			0					3	"gsg,qty=3"							glg																																																																																							0
3 flawless emeralds -> perfect emerald	1			0					3	"glg,qty=3"							gpg																																																																																							0
3 chipped diamonds -> flawed diamond	1			0					3	"gcw,qty=3"							gfw																																																																																							0
3 flawed diamonds -> standard diamond	1			0					3	"gfw,qty=3"							gsw																																																																																							0
3 standard diamonds -> flawless diamond	1			0					3	"gsw,qty=3"							glw																																																																																							0
3 flawless diamonds -> perfect diamond	1			0					3	"glw,qty=3"							gpw																																																																																							0
3 chipped skulls -> flawed skull	1			0					3	"skc,qty=3"							skf																																																																																							0
3 flawed skulls -> standard skull	1			0					3	"skf,qty=3"							sku																																																																																							0
3 standard skulls -> flawless skull	1			0					3	"sku,qty=3"							skl																																																																																							0
3 flawless skulls -> perfect skull	1			0					3	"skl,qty=3"							skz																																																																																							0
3 rune 01 -> rune 02	1			100					3	"r01,qty=3"							r02																																																																																							0
3 rune 02 -> rune 03	1			100					3	"r02,qty=3"							r03																																																																																							0
3 rune 03 -> rune 04	1			100					3	"r03,qty=3"							r04																																																																																							0
3 rune 04 -> rune 05	1			100					3	"r04,qty=3"							r05																																																																																							0
3 rune 05 -> rune 06	1			100					3	"r05,qty=3"							r06																																																																																							0
3 rune 06 -> rune 07	1			100					3	"r06,qty=3"							r07																																																																																							0
3 rune 07 -> rune 08	1			100					3	"r07,qty=3"							r08																																																																																							0
3 rune 08 -> rune 09	1			100					3	"r08,qty=3"							r09																																																																																							0
3 rune 09 -> rune 10	1			100					3	"r09,qty=3"							r10																																																																																							0
