name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Chipped Amethyst		18	gcv	3	att		40	40	swing1		2	2	ease		-2	-2	str		3	3	red-dmg		1	1					ac		10	10	block		1	1	block1		5	5
Flawed Amethyst		18	gfv	3	att		60	60	swing1		3	3	ease		-4	-4	str		4	4	red-dmg		2	2					ac		15	15	block		2	2	block1		7	7
Amethyst		18	gsv	3	att		80	80	swing1		5	5	ease		-6	-6	str		8	8	red-dmg		3	3	red-mag		1	1	ac		25	25	block		3	3	block1		9	9
Flawless Amethyst		17	gzv	3	att		100	100	swing1		8	8	ease		-8	-8	str		15	15	red-dmg		4	4	red-mag		2	2	ac		40	40	block		5	5	block1		11	11
Blemished Amethyst		17	gpv	3	att		150	150	swing2		10	10	ease		-10	-10	str		20	20	red-dmg		5	5	red-mag		3	3	ac		60	60	block		10	10	block2		15	15
Chipped Saphire		5	gcb	3	dmg-cold	25	2	4	mana-kill		1	1	deadly		4	4	mana		15	15	cast1		5	5	mana%		5	5	res-cold		15	15								0
Flawed Saphire		5	gfb	3	dmg-cold	50	4	5	mana-kill		2	2	deadly		8	8	mana		20	20	cast1		6	6	mana%		6	6	res-cold		20	20								0
Saphire		5	gsb	3	dmg-cold	75	5	10	mana-kill		3	3	deadly		12	12	mana		25	25	cast1		7	7	mana%		7	7	res-cold		30	30	res-cold-max		3	3				0
Flwless Saphire		6	glb	3	dmg-cold	100	11	17	mana-kill		4	4	deadly		16	16	mana		30	30	cast1		8	8	mana%		8	8	res-cold		45	45	res-cold-max		6	6	half-freeze		1	1
Blemished Saphire		6	gpb	3	dmg-cold	150	18	24	mana-kill		5	5	deadly		20	20	mana		35	35	cast2		10	10	mana%		9	9	res-cold		60	60	res-cold-max		10	10	half-freeze		1	1
Chipped Emerald		11	gcg	3	dmg-pois	25	64	64	noheal		1	1	openwounds		2	2	dex		3	3	att%		4	4	res-pois-len		5	5	res-pois		15	15					rep-dur	5		0
Flawed Emerald		11	gfg	3	dmg-pois	25	128	128	noheal		1	1	openwounds		4	4	dex		4	4	att%		6	6	res-pois-len		10	10	res-pois		20	20					rep-dur	7		0
Emerald		11	gsg	3	dmg-pois	25	192	192	noheal		1	1	openwounds		6	6	dex		8	8	att%		8	8	res-pois-len		15	15	res-pois		30	30	res-pois-max		3	3	rep-dur	9		0
Flawless Emerald		12	glg	3	dmg-pois	25	256	256	noheal		1	1	openwounds		8	8	dex		15	15	att%		10	10	res-pois-len		25	25	res-pois		45	45	res-pois-max		6	6	rep-dur	11		0
Blemished Emerald		12	gpg	3	dmg-pois	25	384	384	noheal		1	1	openwounds		10	10	dex		20	20	att%		12	12	res-pois-len		40	40	res-pois		60	60	res-pois-max		10	10	rep-dur	13		0
Chipped Ruby		8	gcr	3	dmg-fire		3	4	heal-kill		1	1	dmg-demon		25	25	hp		10	10	deadly		4	4	balance1		5	5	res-fire		15	15					abs-fire%		1	1
Flawed Ruby		8	gfr	3	dmg-fire		5	8	heal-kill		2	2	dmg-demon		35	35	hp		20	20	deadly		8	8	balance1		7	7	res-fire		20	20					abs-fire%		2	2
Ruby		8	gsr	3	dmg-fire		9	12	heal-kill		3	3	dmg-demon		50	50	hp		30	30	deadly		12	12	balance1		9	9	res-fire		30	30	res-fire-max		3	3	abs-fire%		3	3
Flawless Ruby		9	glr	3	dmg-fire		13	18	heal-kill		4	4	dmg-demon		70	70	hp		40	40	deadly		16	16	balance1		11	11	res-fire		45	45	res-fire-max		6	6	abs-fire%		4	4
Blemished Ruby		9	gpr	3	dmg-fire		19	25	heal-kill		5	5	dmg-demon		95	95	hp		50	50	deadly		20	20	balance2		13	13	res-fire		60	60	res-fire-max		10	10	abs-fire%		5	5
Chipped Diamond		0	gcw	3	dmg-min		2	2	dmg-mag		2	4	dmg-undead		25	25	ac		10	10	crush		2	2	dmg-ac		-2	-2	res-all		5	5	dmg-to-mana		10	10	red-dmg		1	1
Flawed Diamond		0	gfw	3	dmg-min		4	4	dmg-mag		4	6	dmg-undead		50	50	ac		15	15	crush		4	4	dmg-ac		-4	-4	res-all		8	8	dmg-to-mana		15	15	red-dmg		2	2
