Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	0	0	271	1	1	10	150	merc01	merc41	100	65	60	10	90	16	40	12	50	18	10	12	300000	3	9	8	20	15	bow		farw	75	Inner Sight	4	10	0	3	3	Magic Arrow	4	3	4	5	3	Immolation Arrow	4	3	3	3	2	Exploding Arrow	4	3	2	3	3	Ice Arrow	4	3	1	1	4							2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	40	150	merc01	merc41	100	65	360	20	570	18	85	12	120	18	406	24	300000	33	39	10	75	13	bow		farw	75	Inner Sight	4	10	0	13	3	Magic Arrow	4	123	4	15	3	Immolation Arrow	4	93	3	18	3	Exploding Arrow	4	63	2	13	3	Ice Arrow	4	33	1	9	4							2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	75	150	merc01	merc41	100	65	1060	30	1200	20	140	12	200	18	1150	36	300000	76	84	12	130	11	bow		farw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Immolation Arrow	4	198	3	30	3	Exploding Arrow	4	133	2	25	3	Ice Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	10	150	merc01	merc41	150	65	60	10	90	16	40	12	50	18	10	12	300000	3	9	8	20	15	bow		carw	75	Inner Sight	4	10	0	3	3	Magic Arrow	4	3	4	5	3	Fire Arrow	4	3	3	5	2	Freezing Arrow	4	3	2	6	3	Cold Arrow	4	3	1	1	3							2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	40	150	merc01	merc41	150	65	360	20	570	18	85	12	120	18	406	24	300000	33	39	10	75	13	bow		carw	75	Inner Sight	4	10	0	13	3	Magic Arrow	4	123	4	15	3	Fire Arrow	4	93	3	20	3	Freezing Arrow	4	63	2	16	3	Cold Arrow	4	33	1	9	4							2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	75	150	merc01	merc41	150	65	1060	30	1200	20	140	12	200	18	1150	36	300000	76	84	12	130	11	bow		carw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Fire Arrow	4	198	3	31	3	Freezing Arrow	4	133	2	28	3	Cold Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	40	150	merc01	merc41	6000	65	360	20	570	18	85	12	120	18	365	24	300000	33	39	10	75	13	bow		farw	75	Inner Sight	4	10	0	13	3	Magic Arrow	4	123	4	15	3	Immolation Arrow	4	93	3	18	3	Exploding Arrow	4	63	2	13	3	Ice Arrow	4	33	1	9	4							2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	75	150	merc01	merc41	6000	65	1060	30	1200	20	140	12	200	18	1109	36	300000	76	84	12	130	11	bow		farw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Immolation Arrow	4	198	3	30	3	Exploding Arrow	4	133	2	25	3	Ice Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	40	150	merc01	merc41	7500	65	360	20	570	18	85	12	120	18	365	24	300000	33	39	10	75	13	bow		carw	75	Inner Sight	4	10	0	13	3	Magic Arrow	4	123	4	15	3	Fire Arrow	4	93	3	20	3	Freezing Arrow	4	63	2	16	3	Cold Arrow	4	33	1	9	4							2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	75	150	merc01	merc41	7500	65	1060	30	1200	20	140	12	200	18	1109	36	300000	76	84	12	130	11	bow		carw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Fire Arrow	4	198	3	31	3	Freezing Arrow	4	133	2	28	3	Cold Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Fire - Hell	0	4	271	1	3	75	150	merc01	merc41	12500	65	1060	30	1200	20	140	12	200	18	998	36	300000	76	84	12	130	11	bow		farw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Immolation Arrow	4	198	3	30	3	Exploding Arrow	4	133	2	25	3	Ice Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Ice - Hell	0	5	271	1	3	75	150	merc01	merc41	14000	65	1060	30	1200	20	140	12	200	18	998	36	300000	76	84	12	130	11	bow		carw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Fire Arrow	4	198	3	31	3	Freezing Arrow	4	133	2	28	3	Cold Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	10	150	merc01	merc41	100	65	60	10	90	16	40	12	50	18	10	12	300000	3	9	8	20	15	bow		farw	75	Inner Sight	4	10	0	3	3	Magic Arrow	4	3	4	5	3	Immolation Arrow	4	3	3	3	2	Exploding Arrow	4	3	2	3	3	Ice Arrow	4	3	1	1	4							2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	40	150	merc01	merc41	100	65	360	20	570	18	85	12	120	18	406	24	300000	33	39	10	75	13	bow		farw	75	Inner Sight	4	10	0	13	3	Magic Arrow	4	123	4	15	3	Immolation Arrow	4	93	3	18	3	Exploding Arrow	4	63	2	13	3	Ice Arrow	4	33	1	9	4							2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	75	150	merc01	merc41	100	65	1060	30	1200	20	140	12	200	18	1150	36	300000	76	84	12	130	11	bow		farw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Immolation Arrow	4	198	3	30	3	Exploding Arrow	4	133	2	25	3	Ice Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	10	150	merc01	merc41	150	65	60	10	90	16	40	12	50	18	10	12	300000	3	9	8	20	15	bow		carw	75	Inner Sight	4	10	0	3	3	Magic Arrow	4	3	4	5	3	Fire Arrow	4	3	3	5	2	Freezing Arrow	4	3	2	6	3	Cold Arrow	4	3	1	1	3							2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	40	150	merc01	merc41	150	65	360	20	570	18	85	12	120	18	406	24	300000	33	39	10	75	13	bow		carw	75	Inner Sight	4	10	0	13	3	Magic Arrow	4	123	4	15	3	Fire Arrow	4	93	3	20	3	Freezing Arrow	4	63	2	16	3	Cold Arrow	4	33	1	9	4							2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	75	150	merc01	merc41	150	65	1060	30	1200	20	140	12	200	18	1150	36	300000	76	84	12	130	11	bow		carw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Fire Arrow	4	198	3	31	3	Freezing Arrow	4	133	2	28	3	Cold Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	40	150	merc01	merc41	6000	65	360	20	570	18	85	12	120	18	365	24	300000	33	39	10	75	13	bow		farw	75	Inner Sight	4	10	0	13	3	Magic Arrow	4	123	4	15	3	Immolation Arrow	4	93	3	18	3	Exploding Arrow	4	63	2	13	3	Ice Arrow	4	33	1	9	4							2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	75	150	merc01	merc41	6000	65	1060	30	1200	20	140	12	200	18	1109	36	300000	76	84	12	130	11	bow		farw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Immolation Arrow	4	198	3	30	3	Exploding Arrow	4	133	2	25	3	Ice Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	40	150	merc01	merc41	7500	65	360	20	570	18	85	12	120	18	365	24	300000	33	39	10	75	13	bow		carw	75	Inner Sight	4	10	0	13	3	Magic Arrow	4	123	4	15	3	Fire Arrow	4	93	3	20	3	Freezing Arrow	4	63	2	16	3	Cold Arrow	4	33	1	9	4							2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	75	150	merc01	merc41	7500	65	1060	30	1200	20	140	12	200	18	1109	36	300000	76	84	12	130	11	bow		carw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Fire Arrow	4	198	3	31	3	Freezing Arrow	4	133	2	28	3	Cold Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	75	150	merc01	merc41	12500	65	1060	30	1200	20	140	12	200	18	998	36	300000	76	84	12	130	11	bow		farw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Immolation Arrow	4	198	3	30	3	Exploding Arrow	4	133	2	25	3	Ice Arrow	4	68	1	18	3							2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	75	150	merc01	merc41	14000	65	1060	30	1200	20	140	12	200	18	998	36	300000	76	84	12	130	11	bow		carw	75	Inner Sight	4	10	0	24	3	Magic Arrow	4	263	4	26	3	Fire Arrow	4	198	3	31	3	Freezing Arrow	4	133	2	28	3	Cold Arrow	4	68	1	18	3							2	1	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	20	198	merca201	merca221	350	65	120	15	270	24	65	16	45	14	20	12	300000	10	18	10	25	15	pole	spea	comb	30	Jab	14	70	0	8	3	Defiance	1	300	0	2	6	Lightning Strike	4	60	3	1	3	Vengeance	4	50	3	3	3													2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	50	198	merca201	merca221	350	65	570	30	990	26	125	16	98	14	428	24	300000	48	56	12	80	13	pole	spea	comb	30	Jab	14	60	0	18	3	Defiance	1	300	0	7	6	Lightning Strike	4	150	3	11	3	Vengeance	4	140	3	13	3													2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	85	198	merca201	merca221	350	65	1620	45	1900	28	195	16	159	14	1196	36	300000	100	110	14	135	11	pole	spea	comb	30	Jab	14	50	0	30	3	Defiance	1	300	0	13	6	Lightning Strike	4	255	3	22	3	Vengeance	4	245	3	25	3													2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	20	198	merca201	merca221	350	65	120	15	270	24	65	16	45	14	20	12	300000	10	18	10	25	15	pole	spea	def	30	Jab	14	70	0	8	3	Prayer	1	300	0	2	8	Lightning Strike	4	60	3	1	3	Vengeance	4	50	3	3	3													2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	50	198	merca201	merca221	350	65	570	30	990	26	125	16	98	14	428	24	300000	48	56	12	80	13	pole	spea	def	30	Jab	14	60	0	18	3	Prayer	1	300	0	5	8	Lightning Strike	4	150	3	11	3	Vengeance	4	140	3	13	3													2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	85	198	merca201	merca221	350	65	1620	45	1900	28	195	16	159	14	1196	36	300000	100	110	14	135	11	pole	spea	def	30	Jab	14	50	0	30	3	Prayer	1	300	0	9	8	Lightning Strike	4	255	3	22	3	Vengeance	4	245	3	25	3													2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	20	198	merca201	merca221	350	65	120	15	270	24	65	16	45	14	20	12	300000	10	18	10	25	15	pole	spea	off	30	Jab	14	70	0	8	3	Holy Fire	1	300	0	3	4	Lightning Strike	4	60	3	1	3	Vengeance	4	50	3	3	3													2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	50	198	merca201	merca221	350	65	570	30	990	26	125	16	98	14	428	24	300000	48	56	12	80	13	pole	spea	off	30	Jab	14	60	0	18	3	Holy Fire	1	300	0	10	4	Lightning Strike	4	150	3	11	3	Vengeance	4	140	3	13	3													2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	85	198	merca201	merca221	350	65	1620	45	1900	28	195	16	159	14	1196	36	300000	100	110	14	135	11	pole	spea	off	30	Jab	14	50	0	30	3	Holy Fire	1	300	0	19	3	Lightning Strike	4	255	3	22	3	Vengeance	4	245	3	25	3													2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	50	198	merca201	merca221	7900	65	570	30	990	26	125	16	98	14	385	24	300000	48	56	12	80	13	pole	spea	comb	30	Jab	14	60	0	18	3	Might	1	300	0	7	5	Lightning Strike	4	150	3	11	3	Vengeance	4	140	3	13	3													2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	85	198	merca201	merca221	7900	65	1620	45	1900	28	195	16	159	14	1153	36	300000	100	110	14	135	11	pole	spea	comb	30	Jab	14	50	0	30	3	Might	1	300	0	14	4	Lightning Strike	4	255	3	22	3	Vengeance	4	245	3	25	3													2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	50	198	merca201	merca221	7900	65	570	30	990	26	125	16	98	14	385	24	300000	48	56	12	80	13	pole	spea	def	30	Jab	14	60	0	18	3	Meditation	1	300	0	5	4	Lightning Strike	4	150	3	11	3	Vengeance	4	140	3	13	3													2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	85	198	merca201	merca221	7900	65	1620	45	1900	28	195	16	159	14	1153	36	300000	100	110	14	135	11	pole	spea	def	30	Jab	14	50	0	30	3	Meditation	1	300	0	9	3	Lightning Strike	4	255	3	22	3	Vengeance	4	245	3	25	3													2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	50	198	merca201	merca221	7900	65	570	30	990	26	125	16	98	14	385	24	300000	48	56	12	80	13	pole	spea	off	30	Jab	14	60	0	18	3	Thorns	1	300	0	10	3	Lightning Strike	4	150	3	11	3	Vengeance	4	140	3	13	3													2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	85	198	merca201	merca221	7900	65	1620	45	1900	28	195	16	159	14	1153	36	300000	100	110	14	135	11	pole	spea	off	30	Jab	14	50	0	30	3	Thorns	1	300	0	22	3	Lightning Strike	4	255	3	22	3	Vengeance	4	245	3	25	3													2	2	2	0
Desert Mercenary	Comb-Hell	0	12	338	2	3	85	198	merca201	merca221	15000	65	1620	45	1900	28	195	16	159	14	1038	36	300000	100	110	14	135	11	pole	spea	comb	30	Jab	14	50	0	30	3	Conviction	1	300	0	6	6	Lightning Strike	4	255	3	22	3	Vengeance	4	245	3	25	3													2	2	2	0
Desert Mercenary	Def-Hell	0	13	338	2	3	85	198	merca201	merca221	15000	65	1620	45	1900	28	195	16	159	14	1038	36	300000	100	110	14	135	11	pole	spea	def	30	Jab	14	50	0	30	3	Salvation	1	300	0	6	6	Lightning Strike	4	255	3	22	3	Vengeance	4	245	3	25	3													2	2	2	0
