Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	9	122	176	9	122	176	8	108	216	8	108	216	21	321	2490	21	321	2490	2	3	4	2	3	4	30	78	117	30	78	117
2	18	136	194	18	136	194	12	126	254	12	126	254	27	339	2556	27	339	2556	3	4	6	3	4	6	40	104	156	40	104	156
3	27	149	212	27	149	212	18	144	292	18	144	292	36	360	2625	36	360	2625	3	4	6	3	4	6	50	131	197	50	131	197
4	36	162	230	36	162	230	26	162	330	26	162	330	45	375	2691	45	375	2691	4	5	7	4	5	7	60	156	234	60	156	234
5	45	177	248	45	177	248	35	180	368	35	180	368	51	396	2760	51	396	2760	4	5	7	4	5	7	70	182	273	70	182	273
6	54	190	266	54	190	266	45	198	406	45	198	406	60	417	2826	60	417	2826	5	7	9	5	7	9	80	207	311	80	207	311
7	63	203	283	63	203	283	56	216	444	56	216	444	69	435	2895	69	435	2895	5	7	9	5	7	9	90	234	351	90	234	351
8	72	217	302	72	217	302	67	234	482	67	234	482	81	456	2961	81	456	2961	6	8	11	6	8	11	100	260	390	100	260	390
9	81	230	320	81	230	320	78	252	520	78	252	520	93	471	3030	93	471	3030	7	9	13	7	9	13	110	285	428	110	285	428
10	90	245	337	90	245	337	89	270	558	89	270	558	105	492	3096	105	492	3096	7	9	13	7	9	13	120	312	468	120	312	468
11	99	258	356	99	258	356	100	288	596	100	288	596	108	513	3165	108	513	3165	8	11	15	8	11	15	130	338	507	130	338	507
12	108	271	373	108	271	373	111	306	634	111	306	634	120	531	3231	120	531	3231	8	11	15	8	11	15	140	363	545	140	363	545
13	117	285	391	117	285	391	122	324	672	122	324	672	132	552	3300	132	552	3300	9	12	17	9	12	17	154	401	602	154	401	602
14	126	298	410	126	298	410	133	342	710	133	342	710	144	567	3366	144	567	3366	10	13	19	10	13	19	169	440	660	169	440	660
15	135	313	427	135	313	427	144	360	748	144	360	748	156	588	3435	156	588	3435	10	13	19	10	13	19	186	482	723	186	482	723
16	144	326	445	144	326	445	155	378	786	155	378	786	168	609	3501	168	609	3501	11	15	20	11	15	20	205	533	800	205	533	800
17	153	339	463	153	339	463	166	396	824	166	396	824	180	627	3570	180	627	3570	11	15	20	11	15	20	225	584	876	225	584	876
18	162	352	481	162	352	481	177	414	862	177	414	862	192	648	3636	192	648	3636	12	16	22	12	16	22	248	644	966	248	644	966
19	171	366	500	171	366	500	188	432	900	188	432	900	204	663	3705	204	663	3705	13	17	24	13	17	24	273	708	1062	273	708	1062
20	180	380	517	180	380	517	199	450	938	199	450	938	219	684	3771	219	684	3771	13	17	24	13	17	24	300	779	1169	300	779	1169
21	189	394	535	189	394	535	210	468	976	210	468	976	234	708	3840	234	708	3840	14	19	26	14	19	26	330	857	1286	330	857	1286
22	198	407	553	198	407	553	221	486	1014	221	486	1014	252	729	3906	252	729	3906	14	19	26	14	19	26	363	942	1413	363	942	1413
23	207	420	571	207	420	571	232	504	1052	232	504	1052	267	744	3975	267	744	3975	15	20	28	15	20	28	399	1035	1553	399	1035	1553
24	216	434	589	216	434	589	243	522	1090	243	522	1090	282	765	4041	282	765	4041	16	21	30	16	21	30	439	1139	1709	439	1139	1709
25	225	448	607	225	448	607	254	540	1128	254	540	1128	300	783	4110	300	783	4110	16	21	30	16	21	30	470	1220	1830	470	1220	1830
26	234	462	625	234	462	625	265	558	1166	265	558	1166	318	804	4176	318	804	4176	17	23	31	17	23	31	503	1305	1958	503	1305	1958
27	243	475	643	243	475	643	276	576	1204	276	576	1204	339	825	4245	339	825	4245	17	23	31	17	23	31	538	1397	2096	538	1397	2096
28	252	488	661	252	488	661	287	594	1242	287	594	1242	360	840	4311	360	840	4311	18	24	33	18	24	33	576	1494	2241	576	1494	2241
29	261	501	679	261	501	679	298	612	1280	298	612	1280	378	861	4380	378	861	4380	19	25	35	19	25	35	616	1598	2397	616	1598	2397
30	270	516	697	270	516	697	309	630	1318	309	630	1318	402	960	4446	402	960	4446	19	25	35	19	25	35	659	1709	2564	659	1709	2564
31	279	529	715	279	529	715	320	648	1356	320	648	1356	426	1065	4515	426	1065	4515	20	27	37	20	27	37	706	1832	2748	706	1832	2748
32	288	543	732	288	543	732	331	666	1394	331	666	1394	450	1164	4581	450	1164	4581	20	27	37	20	27	37	755	1958	2937	755	1958	2937
33	297	556	751	297	556	751	342	684	1432	342	684	1432	474	1269	4650	474	1269	4650	21	28	39	21	28	39	808	2097	3146	808	2097	3146
34	306	569	769	306	569	769	353	702	1470	353	702	1470	498	1368	4716	498	1368	4716	22	29	41	22	29	41	864	2241	3362	864	2241	3362
35	315	584	786	315	584	786	364	720	1508	364	720	1508	522	1473	4785	522	1473	4785	22	29	41	22	29	41	925	2399	3599	925	2399	3599
36	324	597	805	324	597	805	375	738	1546	375	738	1546	546	1575	4851	546	1575	4851	23	31	43	23	31	43	990	2568	3852	990	2568	3852
37	333	610	822	333	610	822	386	756	1584	386	756	1584	570	1677	4920	570	1677	4920	23	31	43	23	31	43	1059	2745	4118	1059	2745	4118
38	342	624	840	342	624	840	397	774	1622	397	774	1622	594	1779	4986	594	1779	4986	24	32	44	24	32	44	1133	2939	4409	1133	2939	4409
39	351	637	859	351	637	859	408	792	1660	408	792	1660	618	1881	5055	618	1881	5055	25	33	46	25	33	46	1212	3144	4716	1212	3144	4716
40	360	652	876	360	652	876	419	810	1698	419	810	1698	645	1983	5121	645	1983	5121	25	33	46	25	33	46	1297	3365	5048	1297	3365	5048
41	369	665	894	369	665	894	430	828	1736	430	828	1736	675	2088	5190	675	2088	5190	26	35	48	26	35	48	1388	3600	5400	1388	3600	5400
42	378	678	912	378	678	912	441	846	1774	441	846	1774	702	2187	5256	702	2187	5256	26	35	48	26	35	48	1485	3852	5778	1485	3852	5778
43	387	692	930	387	692	930	452	864	1812	452	864	1812	729	2292	5325	729	2292	5325	27	36	50	27	36	50	1589	4121	6182	1589	4121	6182
44	396	705	949	396	705	949	463	882	1850	463	882	1850	759	2391	5391	759	2391	5391	28	37	52	28	37	52	1693	4409	6614	1693	4409	6614
45	405	720	966	405	720	966	474	900	1888	474	900	1888	786	2496	5460	786	2496	5460	28	37	52	28	37	52	1797	4718	7077	1797	4718	7077
46	414	733	984	414	733	984	485	918	1926	485	918	1926	813	2601	5526	813	2601	5526	29	39	54	29	39	54	1901	5051	7577	1901	5051	7577
47	423	746	1002	423	746	1002	496	936	1964	496	936	1964	843	2700	5595	843	2700	5595	29	39	54	29	39	54	2005	5402	8103	2005	5402	8103
48	432	759	1020	432	759	1020	507	954	2002	507	954	2002	870	2805	5661	870	2805	5661	30	40	56	30	40	56	2109	5783	8675	2109	5783	8675
49	441	773	1038	441	773	1038	518	972	2040	518	972	2040	897	2904	5730	897	2904	5730	31	41	57	31	41	57	2213	6186	9279	2213	6186	9279
50	450	787	1056	450	787	1056	529	990	2078	529	990	2078	930	3009	5796	930	3009	5796	31	41	57	31	41	57	2317	6618	9927	2317	6618	9927
51	459	801	1074	459	801	1074	540	1008	2116	540	1008	2116	963	3111	5865	963	3111	5865	32	43	59	32	43	59	2421	7080	10620	2421	7080	10620
52	468	814	1092	468	814	1092	551	1026	2154	551	1026	2154	993	3213	5931	993	3213	5931	32	43	59	32	43	59	2525	7506	11259	2525	7506	11259
53	477	827	1110	477	827	1110	562	1044	2192	562	1044	2192	1026	3315	6000	1026	3315	6000	33	44	61	33	44	61	2629	7956	11934	2629	7956	11934
54	486	841	1128	486	841	1128	573	1062	2230	573	1062	2230	1056	3417	6090	1056	3417	6090	34	45	63	34	45	63	2733	8435	12653	2733	8435	12653
55	495	855	1146	495	855	1146	584	1080	2268	584	1080	2268	1089	3519	6225	1089	3519	6225	34	45	63	34	45	63	2837	8942	13413	2837	8942	13413
56	504	868	1164	504	868	1164	595	1098	2306	595	1098	2306	1122	3624	6405	1122	3624	6405	35	47	65	35	47	65	2941	9477	14216	2941	9477	14216
57	513	882	1181	513	882	1181	606	1116	2344	606	1116	2344	1152	3723	6666	1152	3723	6666	35	47	65	35	47	65	3045	10044	15066	3045	10044	15066
58	522	895	1200	522	895	1200	617	1134	2382	617	1134	2382	1185	3828	6924	1185	3828	6924	36	48	67	36	48	67	3149	10647	15971	3149	10647	15971
59	531	908	1218	531	908	1218	628	1152	2420	628	1152	2420	1218	3927	7182	1218	3927	7182	37	49	68	37	49	68	3253	11286	16929	3253	11286	16929
60	540	923	1235	540	923	1235	639	1170	2458	639	1170	2458	1254	4032	7440	1254	4032	7440	37	49	68	37	49	68	3357	11964	17946	3357	11964	17946
61	549	936	1254	549	936	1254	650	1188	2496	650	1188	2496	1290	4137	7701	1290	4137	7701	38	51	70	38	51	70	3461	12680	19020	3461	12680	19020
62	558	950	1271	558	950	1271	661	1206	2534	661	1206	2534	1326	4236	7959	1326	4236	7959	38	51	70	38	51	70	3565	13442	20163	3565	13442	20163
63	567	963	1289	567	963	1289	672	1224	2572	672	1224	2572	1362	4341	8217	1362	4341	8217	39	52	72	39	52	72	3669	14249	21374	3669	14249	21374
64	576	976	1308	576	976	1308	683	1242	2610	683	1242	2610	1398	4440	8475	1398	4440	8475	39	52	72	39	52	72	3773	15104	22656	3773	15104	22656
65	585	991	1325	585	991	1325	694	1260	2648	694	1260	2648	1431	4545	8736	1431	4545	8736	40	53	74	40	53	74	3877	16010	24015	3877	16010	24015
66	594	1004	1343	594	1004	1343	705	1278	2686	705	1278	2686	1467	4647	8994	1467	4647	8994	41	55	76	41	55	76	3981	16916	25374	3981	16916	25374
67	603	1017	1361	603	1017	1361	716	1296	2724	716	1296	2724	1503	4749	9252	1503	4749	9252	41	55	76	41	55	76	4085	17822	26733	4085	17822	26733
68	612	1031	1379	612	1031	1379	727	1314	2762	727	1314	2762	1539	4851	9510	1539	4851	9510	42	56	78	42	56	78	4189	18728	28092	4189	18728	28092
69	621	1044	1398	621	1044	1398	738	1332	2800	738	1332	2800	1575	4953	9771	1575	4953	9771	43	57	80	43	57	80	4293	19634	29451	4293	19634	29451
70	630	1059	1415	630	1059	1415	749	1350	2838	749	1350	2838	1617	5055	10029	1617	5055	10029	43	57	80	43	57	80	4397	20540	30810	4397	20540	30810
71	639	1072	1433	639	1072	1433	760	1368	2876	760	1368	2876	1656	5160	10287	1656	5160	10287	44	59	81	44	59	81	4501	21446	32169	4501	21446	32169
72	648	1085	1451	648	1085	1451	771	1386	2914	771	1386	2914	1695	5259	10545	1695	5259	10545	44	59	81	44	59	81	4605	22352	33528	4605	22352	33528
73	657	1099	1469	657	1099	1469	782	1404	2952	782	1404	2952	1737	5364	10806	1737	5364	10806	45	60	83	45	60	83	4709	23258	34887	4709	23258	34887
74	666	1112	1487	666	1112	1487	793	1422	2990	793	1422	2990	1776	5463	11064	1776	5463	11064	46	61	85	46	61	85	4813	24164	36246	4813	24164	36246
75	675	1127	1505	675	1127	1505	804	1440	3028	804	1440	3028	1815	5568	11322	1815	5568	11322	46	61	85	46	61	85	4917	25070	37605	4917	25070	37605
76	684	1140	1523	684	1140	1523	815	1458	3066	815	1458	3066	1854	5673	11580	1854	5673	11580	47	63	87	47	63	87	5021	25976	38964	5021	25976	38964
77	693	1153	1541	693	1153	1541	826	1476	3104	826	1476	3104	1896	5772	11841	1896	5772	11841	47	63	87	47	63	87	5125	26882	40323	5125	26882	40323
78	702	1166	1559	702	1166	1559	837	1494	3142	837	1494	3142	1935	5877	12099	1935	5877	12099	48	64	89	48	64	89	5229	27788	41682	5229	27788	41682
79	711	1180	1577	711	1180	1577	848	1512	3180	848	1512	3180	1974	5976	12357	1974	5976	12357	49	65	91	49	65	91	5333	28694	43041	5333	28694	43041
80	720	1194	1595	720	1194	1595	859	1530	3218	859	1530	3218	2019	6081	12615	2019	6081	12615	49	65	91	49	65	91	5437	29600	44400	5437	29600	44400
81	729	1208	1613	729	1208	1613	870	1548	3256	870	1548	3256	2064	6183	12876	2064	6183	12876	50	67	93	50	67	93	5541	30506	45759	5541	30506	45759
82	738	1221	1630	738	1221	1630	881	1566	3294	881	1566	3294	2106	6285	13134	2106	6285	13134	50	67	93	50	67	93	5645	31412	47118	5645	31412	47118
83	747	1234	1649	747	1234	1649	892	1584	3332	892	1584	3332	2151	6387	13392	2151	6387	13392	51	68	94	51	68	94	5749	32318	48477	5749	32318	48477
84	756	1248	1667	756	1248	1667	903	1602	3370	903	1602	3370	2196	6489	13650	2196	6489	13650	51	68	94	51	68	94	5853	33224	49836	5853	33224	49836
85	765	1262	1684	765	1262	1684	914	1620	3408	914	1620	3408	2238	6591	13911	2238	6591	13911	52	69	96	52	69	96	5957	34130	51195	5957	34130	51195
86	774	1275	1703	774	1275	1703	925	1638	3446	925	1638	3446	2283	6696	14169	2283	6696	14169	53	70	98	53	70	98	6061	35036	52554	6061	35036	52554
87	783	1289	1720	783	1289	1720	936	1656	3484	936	1656	3484	2325	6795	14427	2325	6795	14427	53	70	98	53	70	98	6165	35942	53913	6165	35942	53913
88	792	1302	1738	792	1302	1738	947	1674	3522	947	1674	3522	2370	6900	14685	2370	6900	14685	54	72	100	54	72	100	6269	36848	55272	6269	36848	55272
89	801	1315	1757	801	1315	1757	958	1692	3560	958	1692	3560	2415	6999	14946	2415	6999	14946	55	73	102	55	73	102	6373	37754	56631	6373	37754	56631
90	810	1330	1774	810	1330	1774	969	1710	3598	969	1710	3598	2463	7104	15204	2463	7104	15204	55	73	102	55	73	102	6477	38660	57990	6477	38660	57990
91	819	1343	1792	819	1343	1792	980	1728	3636	980	1728	3636	2511	7209	15462	2511	7209	15462	56	74	104	56	74	104	6581	39566	59349	6581	39566	59349
92	828	1357	1810	828	1357	1810	991	1746	3674	991	1746	3674	2559	7308	15720	2559	7308	15720	56	74	104	56	74	104	6685	40472	60708	6685	40472	60708
93	837	1370	1828	837	1370	1828	1002	1764	3712	1002	1764	3712	2604	7413	15981	2604	7413	15981	57	76	105	57	76	105	6789	41378	62067	6789	41378	62067
94	846	1383	1847	846	1383	1847	1013	1782	3750	1013	1782	3750	2652	7512	16239	2652	7512	16239	58	77	107	58	77	107	6893	42284	63426	6893	42284	63426
95	855	1398	1864	855	1398	1864	1024	1800	3788	1024	1800	3788	2700	7617	16497	2700	7617	16497	58	77	107	58	77	107	6997	43190	64785	6997	43190	64785
96	864	1411	1882	864	1411	1882	1035	1818	3826	1035	1818	3826	2748	7719	16755	2748	7719	16755	59	78	109	59	78	109	7101	44096	66144	7101	44096	66144
97	873	1424	1900	873	1424	1900	1046	1836	3864	1046	1836	3864	2796	7821	17016	2796	7821	17016	59	78	109	59	78	109	7205	45002	67503	7205	45002	67503
98	882	1438	1918	882	1438	1918	1057	1854	3902	1057	1854	3902	2844	7923	17274	2844	7923	17274	60	80	111	60	80	111	7309	45908	68862	7309	45908	68862
