npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									10000	35000	60000
charsi	512	960	128	4	1024	922	1024									10000	35000	60000
akara	512	1024	128	4	1024	922	1024									10000	35000	60000
lysander	512	1024	128	9	1024	922	1024									15000	40000	65000
drognan	512	1024	128	9	1024	922	1024									15000	40000	65000
elzix	512	1024	128	9	1024	922	1024									15000	40000	65000
fara	512	1024	128	9	1024	922	1024									15000	40000	65000
hratli	512	1024	128	17	1024	922	1024									20000	45000	70000
alkor	512	1024	128	17	1024	922	1024									20000	45000	70000
ormus	512	1024	128	17	1024	922	1024									20000	45000	70000
asheara	512	1024	128	17	1024	922	1024									20000	45000	70000
jamella	512	1024	128	41	1024	922	1024									25000	50000	75000
halbu	512	1024	128	41	1024	922	1024									25000	50000	75000
malah	512	2048	128	41	1024	922	1024	35	1024	512	1024					30000	55000	80000
drehya	512	2048	128	41	1024	922	1024	35	1024	512	1024					30000	55000	80000
larzuk	512	2048	128	41	1024	922	1024	35	1024	512	1024					30000	55000	80000
nihlathak	512	2048	128	41	1024	922	1024	35	1024	512	1024					30000	55000	80000
