Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword1	Abandon	1		helm								3	Su Te Ru   	r43	r37	r24				ac%		185	185	allskills		2	3	att		200	200	move3		50	50	swing3		50	50	thorns		200	200	thorns/lvl	80			0
Runeword2	Armageddon	1		mace	hamm	club						5	Ke I To Yu Ri 	r17	r01	r26	r16	r09		dmg%		100	175	allskills		2	2	oskill	Meteor	10	16	dmg-fire		100	200	att-skill	Fire Ball	8	14	gethit-skill	Nova	10	12	dmg-fire/lvl	64			0
Runeword3	Authority	1		mele								2	Ke Ni    	r17	r30					dmg%		150	200	bar		3	3	pal		2	2	str		20	30	str/lvl	4			att		150	200	deadly		30	40	0
Runeword4	Able	1		tors								4	Yu U No U  	r16	r02	r36	r02			ac%		200	250	allskills		1	1	ease		-100	-100	str		25	30	dex		25	30	regen-stam		25	25	move2		20	20	0
Runeword5	Beauty	1		tors								5	U Tsu Ku Shi Sa 	r02	r13	r06	r03	r15		ac/lvl	24			sor		2	2	ama		2	2	hp%		15	25	enr		20	20	dex		20	20	light		5	5	0
Runeword6	Black	1		mace	hamm	club						3	Ku Ro I   	r06	r38	r01				dmg%		175	225	allskills		2	3	oskill	Corpse Explosion	4	4	crush		40	40	swing2		20	35	red-mag		10	30	att		200	200	0
Runeword7	Blood	1		swor	axe							4	Ke Tsu E Ki  	r17	r13	r18	r08			dmg%		80	160	allskills		1	1	lifesteal		8	16	openwounds		88	88	noheal		1	1	rip		1	1	color	255	0	0	0
Runeword8	Bone	1		wand	knif							2	Ho Ne    	r22	r41					skill	Bone Armor	10	10	skill	Skeleton Mastery	8	8	skill	Raise Skeleton	6	6	skill	Bone Wall	6	6	skill	Bone Spirit	5	5	skill	Bone Spear	6	6	skill	Bone Prison	6	6	0
Runeword9	Abolish	1		mace	hamm	club						3	Ha I Shi   	r28	r01	r03				dmg%		150	175	allskills		2	2	deadly		50	50	crush		20	20	dmg-ac		-10	-10	dmg/lvl	8			kill-skill	Corpse Explosion	100	2	0
Runeword10	Absolute	1		miss								3	Ta Shi Ka   	r25	r03	r04				dmg%		125	175	ama		2	2	att%		30	30	crush		15	15	charged	Inner Sight	15	1	dex		25	25	swing2		30	30	0
Runeword11	Abundant	1		tors								3	Ho U Fu   	r22	r02	r32				ac%		150	175	allskills		1	2	hp%		25	25	mana%		25	25	regen		35	70	regen-mana		100	200	res-all		18	30	0
Runeword12	Accuracy	1		miss								4	Se I Ka Ku  	r31	r01	r04	r06			dmg%		150	200	ama		2	3	att%		75	100	crush		25	50	noheal		1	1	skill	Pierce	3	4	att/lvl	20			0
Runeword13	Achieve	1		shld								4	Ka Chi To Ku  	r04	r14	r26	r06			ac%		75	150	addxp		20	20	block2		20	20	block		20	20	red-dmg		10	20	red-mag		10	20	res-all		20	30	0
Runeword14	Noir	1		h2h								3	Ki Ri Ka   	r08	r09	r04				dmg%		125	150	allskills		1	1	swing3		30	30	deadly		30	30	move2		20	20	ac		100	100	att		200	400	0
Runeword15	Acid	1		swor	axe							4	Sa N Se I  	r15	r05	r31	r01			dmg%		100	150	allskills		2	3	dmg-fire		125	250	dmg-fire/lvl	80			swing3		30	30	noheal		1	1	rip		1	1	0
Runeword16	Chaos	1		weap								4	Ko N To N  	r19	r05	r26	r05			dmg%		150	200	allskills		2	2	swing1		15	30	dmg-fire/lvl	24			dmg-cold/lvl	16			dmg-pois/lvl	20			dmg-ltng/lvl	32			0
Runeword17	Butcher	1		axe								3	Ni Ku Ya   	r30	r06	r11				dmg%		200	250	allskills		2	2	crush		45	60	str		30	30	openwounds		100	100	lifesteal		6	9	str/lvl	8		 	0
Runeword18	Darkness	1		armo								4	Ku Ra Ya Mi  	r06	r20	r11	r10			ac%		100	150	nec		1	2	dmg-pois	100	128	192	light		-3	-3	ease		-30	-30	thorns		120	120	gethit-skill	Weaken	6	3	0
Runeword19	Daylight	1		armo								3	Hi Ru Ma   	r34	r24	r33				ac%		150	225	allskills		2	3	light		5	5	red-dmg		10	10	gethit-skill	Nova	6	24	abs-fire%		30	30	abs-ltng%		20	20	0
Runeword20	Captive	1		tors								3	Ho Ri yo   	r22	r09	r50				ac%		100	125	move1		10	10	enr		10	10	str		15	15	oskill	Bone Prison	5	5	skill	Revive	4	4	skill	Skeleton Mastery	3	3	0
