Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Gold			1						gld	1																						0
Scrolls 1			1						01b	6	02b	6	34b	6	ddd	6																0
Scrolls 2			1						03b	6	04b	6	35b	6	ddd	6	Scrolls 1	9														0
Scrolls 3			1						05b	6	06b	6	36b	6	ddd	6	Scrolls 2	18														0
Scrolls 4			1						07b	6	08b	6	37b	6	ddd	6	Scrolls 3	27														0
Scrolls 5			1						09b	6	10b	6	38b	6	ddd	6	Scrolls 4	36														0
Scrolls 6			1						11b	6	12b	6	39b	6	ddd	6	Scrolls 5	45														0
Scrolls 7			1						13b	6	14b	6	40b	6	ddd	6	Scrolls 6	54														0
Scrolls 8			1						15b	6	16b	6	41b	6	ddd	6	Scrolls 7	63														0
Scrolls 9			1						17b	6	18b	6	42b	6	ddd	6	Scrolls 8	72														0
Scrolls 10			1						19b	6	20b	6	43b	6	ddd	6	Scrolls 9	81														0
Scrolls 11			1						21b	6	22b	6	44b	6	ddd	6	Scrolls 10	90														0
Scrolls 12			1						23b	6	24b	6	45b	6	ddd	6	Scrolls 11	99														0
Scrolls 13			1						25b	6	26b	6	46b	6	ddd	6	Scrolls 12	108														0
Scrolls 14			1						27b	6	28b	6	47b	6	ddd	6	Scrolls 13	117														0
Scrolls 15			1						29b	6	30b	6	48b	6	ddd	6	Scrolls 14	126														0
Scrolls 16			1						31b	6	32b	6	49b	6	ddd	6	Scrolls 15	135														0
Scrolls 17			1						33b	6	51b	6	50b	6	ddd	6	Scrolls 16	144														0
stones1			-4						ppp	4																						0
Class Rings			1						srn	1	brg	1	nrn	1	prn	1	drn	1	zrn	1	arn	1										0
Rings			1						rin	1	rn2	1	Class Rings	1																		0
Class Amulets			1						sam	1	bam	1	nam	1	pam	1	dam	1	zam	1	aam	1										0
Amulets			1						amu	1	am2	1	Class Amulets	1																		0
Jewelry A			1						Rings	12	Amulets	6	jew	4	ppp	2	cm1	4	cm2	4	cm3	4										0
Jewelry B			1						Rings	12	Amulets	6	jew	4	ppp	2	cm1	4	cm2	4	cm3	4										0
Jewelry C			1						Rings	12	Amulets	6	jew	4	ppp	2	cm1	4	cm2	4	cm3	4										0
Jewelry E			1	1024					cel	1	jel	1	lot	1	dev	1	jew	1														0
Jewelry D			1						Jewelry C	96	Jewelry E	1																				0
Chipped Gem			1						gcv	1	gcy	1	gcb	1	gcg	1	gcr	1	gcw	1	skc	1	gck	1								0
Flawed Gem			1						gfv	1	gfy	1	gfb	1	gfg	1	gfr	1	gfw	1	skf	1	gfk	1								0
Normal Gem			1						gsv	1	gsy	1	gsb	1	gsg	1	gsr	1	gsw	1	sku	1	gsk	1								0
Flawless Gem			1						gzv	1	gly	1	glb	1	glg	1	glr	1	glw	1	skl	1	gzk	1								0
Blemished Gem			1						gpv	1	gpy	1	gpb	1	gpg	1	gpr	1	gpw	1	skz	1	gpk	1								0
Perfect Gem			1						gvb	3	gyb	3	gbb	3	ggb	3	grb	3	gwb	3	skb	3	gpk	3								0
Ammo			1						aq2	1	cq2	1																				0
Misc 0			1						key	3	tsc	3	isc	3	opl	2	gpl	2														0
Misc 1			1						key	3	tsc	3	isc	3	opm	2	gpm	2														0
Misc 2			1						key	3	tsc	3	isc	3	ops	2	gps	2														0
